------------------------------------------
Starting Logging:16:17:47.384181
Data Format...
hour:min:sec.milli:bus_current,bus_voltage,vehicle_velocity,motor_velocity,phase_a_current,phase_b_current,dc_bus_amphours,odometer
16:26:07.358090:503,0,0,0,300,462,685,0
16:26:08.360695:401,0,0,0,265,422,685,0
16:26:09.363611:431,0,0,0,315,372,685,0
16:26:10.366305:462,0,0,0,280,447,685,0
16:26:11.368882:280,0,0,0,440,372,685,0
16:26:12.375433:273,0,0,0,330,422,685,0
16:26:13.378085:273,0,0,0,330,422,685,0
16:26:14.380613:467,0,0,0,470,262,685,0
16:26:15.383281:413,0,0,0,265,422,685,0
16:26:16.385842:474,0,0,0,280,282,685,0
16:26:17.391722:333,0,0,0,260,462,685,0
16:26:18.394282:447,0,0,0,280,307,685,0
16:26:19.397798:339,0,0,0,315,372,685,0
16:26:20.401071:339,0,0,0,245,422,685,0
16:26:21.408202:415,0,0,0,290,632,685,0
16:26:22.414170:396,0,0,0,245,387,685,0
16:26:23.416657:495,0,0,0,390,307,685,0
16:26:24.419153:286,0,0,0,395,372,685,0
16:26:25.421488:473,0,0,0,85,307,685,0
16:26:26.431471:307,0,0,0,245,712,685,0
16:26:27.442864:371,0,0,0,215,307,685,0
16:26:28.445445:464,0,0,0,290,557,685,0
16:26:29.447978:440,0,0,0,265,712,685,0
16:26:30.450649:287,0,0,0,280,372,685,0
16:26:31.453927:286,0,0,0,245,307,685,0
16:26:32.465713:467,0,0,0,260,312,685,0
16:26:33.471433:509,0,0,0,485,422,685,0
16:26:34.473991:314,0,0,0,485,422,685,0
16:26:35.477268:453,0,0,0,260,372,685,0
16:26:36.479837:491,0,0,0,315,262,685,0
16:26:37.491624:354,0,0,0,440,422,685,0
16:26:38.494033:428,0,0,0,290,307,685,0
16:26:39.496667:492,0,0,0,265,462,685,0
16:26:40.500012:325,0,0,0,220,312,685,0
16:26:41.511457:325,0,0,0,220,312,685,0
16:26:42.513767:378,0,0,0,490,307,685,0
16:26:43.516426:341,0,0,0,315,557,685,0
16:26:44.518912:290,0,0,0,265,422,685,0
16:26:45.521573:429,0,0,0,385,372,685,0
16:26:46.524043:497,0,0,0,470,212,685,0
16:26:47.531096:331,0,0,0,280,447,685,0
16:26:49.536099:355,0,0,0,290,212,685,0
16:26:50.538643:344,0,0,0,350,472,685,0
16:26:51.541096:440,0,0,0,440,422,685,0
16:26:52.547228:363,0,0,0,260,712,685,0
16:26:53.549944:442,0,0,0,265,262,685,0
16:26:54.552737:425,0,0,0,290,372,685,0
16:26:55.561422:370,0,0,0,310,312,685,0
16:26:56.564158:438,0,0,0,310,312,685,0
16:26:57.577490:484,0,0,0,395,212,685,0
16:26:58.580024:275,0,0,0,345,422,685,0
16:26:59.582910:459,0,0,0,265,312,685,0
16:27:00.585496:335,0,0,0,215,472,685,0
16:27:01.588105:331,0,0,0,85,312,685,0
16:27:02.621437:428,0,0,0,612,307,685,0
16:27:03.629045:428,0,0,0,265,262,685,0
16:27:04.631410:366,0,0,0,280,262,685,0
16:27:05.633996:451,0,0,0,265,262,685,0
16:27:06.636498:449,0,0,0,470,307,685,0
16:27:07.645656:452,0,0,0,485,422,685,0
16:27:08.648660:336,0,0,0,440,372,685,0
16:27:09.653503:326,0,0,0,245,447,685,0
16:27:10.656760:326,0,0,0,280,712,685,0
16:27:11.659978:328,0,0,0,345,282,685,0
16:27:12.669231:369,0,0,0,215,557,685,0
